Date of Stop,Personal Injuries
2/24/15,16
2/25/15,35
2/26/15,9
2/27/15,11
2/28/15,7
3/1/15,12
3/2/15,4
3/3/15,29
3/4/15,27
3/5/15,3
3/6/15,18
3/7/15,14
3/8/15,6
3/10/15,3
3/11/15,6
3/12/15,19
3/13/15,44
3/14/15,7
3/15/15,6
3/16/15,24
3/17/15,33
3/18/15,29
3/19/15,19
3/20/15,13
3/21/15,4
3/22/15,9
3/23/15,5
3/24/15,38
3/25/15,32
3/26/15,43
3/27/15,38
3/28/15,6
3/29/15,7
3/30/15,8
3/31/15,11
4/1/15,12
4/2/15,9
4/3/15,10
4/4/15,21
4/5/15,11
4/6/15,21
4/7/15,8
4/8/15,3
4/9/15,15
4/10/15,18
4/11/15,29
4/12/15,37
4/13/15,22
4/14/15,4
4/15/15,11
4/16/15,12
4/17/15,8
4/18/15,26
4/19/15,23
4/20/15,28
4/21/15,33
4/22/15,23
4/23/15,14
4/24/15,30
4/25/15,43
4/26/15,20
4/27/15,16
4/28/15,8
4/29/15,20
4/30/15,7
5/1/15,5
5/2/15,2
5/3/15,1
5/4/15,16
5/5/15,4
5/6/15,8
5/7/15,9
5/8/15,9
5/10/15,2
5/11/15,3
5/12/15,3
5/13/15,4
5/14/15,5
5/15/15,14
5/16/15,3
5/17/15,7
5/18/15,27
5/19/15,1
5/20/15,11
5/21/15,8
5/22/15,35
5/23/15,24
5/24/15,5
5/25/15,8
5/26/15,12
5/27/15,19
5/28/15,4
5/29/15,41
5/30/15,10
5/31/15,16
6/1/15,2
6/2/15,11
6/3/15,7
6/4/15,30
6/5/15,26
6/6/15,14
6/7/15,6
6/8/15,6
6/9/15,4
6/10/15,17
6/11/15,6
6/12/15,8
6/13/15,6
6/14/15,7
6/15/15,1
6/16/15,11
6/17/15,8
6/18/15,11
6/19/15,17
6/20/15,4
6/21/15,4
6/22/15,7
6/23/15,12
6/24/15,2
6/25/15,4
6/26/15,2
6/27/15,2
6/28/15,7
6/29/15,6
6/30/15,6
7/2/15,9
7/3/15,13
7/4/15,11
7/5/15,10
7/6/15,7
7/7/15,5
7/8/15,11
7/9/15,12
7/10/15,4
7/11/15,8
7/12/15,8
7/13/15,22
7/14/15,14
7/15/15,8
7/16/15,2
7/17/15,18
7/18/15,15
7/19/15,13
7/20/15,16
7/21/15,30
7/22/15,20
7/23/15,15
7/24/15,14
7/25/15,13
7/26/15,13
7/27/15,12
7/28/15,16
7/29/15,7
7/30/15,12
7/31/15,11
8/1/15,15
8/2/15,17
8/3/15,9
8/4/15,3
8/5/15,7
8/6/15,10
8/7/15,5
8/8/15,10
8/9/15,5
8/10/15,5
8/11/15,7
8/12/15,34
8/13/15,15
8/14/15,10
8/15/15,6
8/16/15,1
8/17/15,2
8/18/15,14
8/19/15,5
8/20/15,15
8/21/15,11
8/22/15,5
8/23/15,20
8/24/15,7
8/25/15,29
8/26/15,11
8/27/15,6
8/28/15,5
8/29/15,11
8/30/15,7
8/31/15,7
9/1/15,36
9/2/15,17
9/3/15,17
9/4/15,16
9/5/15,20
9/6/15,11
9/7/15,13
9/8/15,15
9/9/15,15
9/10/15,14
9/11/15,7
9/12/15,8
9/13/15,1
9/14/15,5
9/15/15,6
9/16/15,14
9/17/15,18
9/18/15,14
9/19/15,6
9/20/15,9
9/21/15,9
9/22/15,9
9/23/15,7
9/24/15,8
9/25/15,7
9/26/15,6
9/27/15,5
9/28/15,14
9/29/15,10
9/30/15,5
10/1/15,11
10/2/15,9
10/3/15,7
10/4/15,8
10/5/15,18
10/6/15,16
10/7/15,27
10/8/15,27
10/9/15,18
10/10/15,10
10/11/15,12
10/12/15,23
10/13/15,24
10/14/15,17
10/15/15,20
10/16/15,7
10/17/15,6
10/18/15,8
10/19/15,3
